0 1.04e-03 3 30 30 30 32 30 30 1.981e-03 4.848e+01 2.075e+03
0 8.98e-04 3 18 47 19 21 35 35 2.181e-03 5.696e+01 2.269e+03
0 1.66e-03 3 26 30 39 27 53 30 2.273e-03 6.214e+01 2.372e+03
0 1.00e-03 3 20 44 4 30 30 4 2.343e-03 3.877e+01 2.415e+03
0 9.59e-04 2 12 40 34 17 29 26 2.410e-03 4.388e+01 2.465e+03
0 7.40e-04 2 33 9 21 32 45 19 2.430e-03 4.784e+01 2.475e+03
0 8.44e-04 4 30 30 39 30 26 40 2.519e-03 6.192e+01 2.653e+03
0 7.79e-04 3 38 28 10 34 12 24 2.639e-03 4.344e+01 2.719e+03
0 1.00e-03 3 30 30 30 30 30 30 2.697e-03 6.268e+01 2.791e+03
0 5.72e-04 3 30 20 30 53 14 30 2.818e-03 4.283e+01 2.901e+03
0 6.62e-04 3 35 30 30 30 30 10 3.250e-03 6.504e+01 3.349e+03
0 3.63e-04 4 40 26 35 52 36 14 3.355e-03 8.004e+01 3.513e+03
0 1.00e-03 2 22 2 12 21 34 19 3.794e-03 4.354e+01 3.821e+03
0 1.05e-03 1 20 52 35 31 11 42 4.286e-03 3.831e+01 4.308e+03
0 2.50e-04 1 2 30 18 30 42 43 4.322e-03 3.034e+01 4.326e+03
1 1.04e-03 3 30 30 30 32 30 35 2.023e-03 5.667e+01 2.117e+03
1 9.17e-04 2 53 24 30 49 36 35 2.096e-03 5.550e+01 2.176e+03
1 8.34e-04 3 13 15 10 20 22 4 2.285e-03 2.986e+01 2.327e+03
1 6.77e-04 3 18 37 8 35 11 3 2.486e-03 3.718e+01 2.553e+03
1 8.98e-04 3 18 47 39 27 53 30 2.674e-03 5.501e+01 2.781e+03
1 1.66e-03 3 26 30 19 30 35 30 2.721e-03 5.006e+01 2.800e+03
1 1.45e-03 3 18 47 19 21 30 4 2.754e-03 5.119e+01 2.842e+03
1 9.59e-04 2 12 40 34 17 29 17 2.841e-03 3.952e+01 2.895e+03
1 1.00e-03 3 20 44 4 21 35 30 2.960e-03 4.746e+01 3.032e+03
1 3.11e-04 3 18 47 19 12 34 22 3.136e-03 3.978e+01 3.224e+03
1 9.79e-04 3 12 28 4 16 34 16 3.253e-03 3.887e+01 3.301e+03
1 1.66e-03 2 16 30 21 30 14 32 3.327e-03 2.769e+01 3.376e+03
1 8.98e-04 1 15 50 54 36 68 30 3.712e-03 2.531e+01 3.728e+03
1 2.50e-04 1 2 30 18 30 42 43 6.181e-03 2.025e+01 6.184e+03
1 5.71e-04 1 14 46 25 27 4 16 7.180e-03 2.297e+01 7.195e+03
2 1.04e-03 3 30 30 30 32 36 35 2.125e-03 4.366e+01 2.218e+03
2 2.50e-04 1 2 30 18 30 42 43 2.507e-03 2.010e+01 2.511e+03
2 7.51e-04 2 61 24 30 85 30 31 2.550e-03 4.130e+01 2.637e+03
2 8.98e-04 3 18 47 64 24 22 4 2.659e-03 5.924e+01 2.792e+03
2 9.17e-04 2 53 24 30 49 30 35 2.746e-03 5.581e+01 2.826e+03
2 8.98e-04 3 18 47 39 20 22 4 2.817e-03 5.408e+01 2.925e+03
2 8.56e-04 5 21 39 9 10 7 19 2.946e-03 5.352e+01 3.038e+03
2 8.34e-04 3 30 30 30 32 36 35 2.986e-03 5.563e+01 3.080e+03
2 1.04e-03 3 13 15 10 27 53 3 3.075e-03 2.710e+01 3.116e+03
2 1.23e-03 1 11 19 9 18 42 3 3.108e-03 2.914e+01 3.121e+03
2 7.08e-04 3 13 15 10 27 53 3 3.143e-03 3.831e+01 3.185e+03
2 8.29e-04 3 7 21 6 21 107 19 3.279e-03 3.681e+01 3.317e+03
2 6.77e-04 3 18 37 8 35 11 30 3.350e-03 4.413e+01 3.417e+03
2 7.06e-04 1 18 40 27 52 36 51 3.697e-03 2.423e+01 3.717e+03
2 5.71e-04 1 14 46 25 27 4 16 5.478e-03 2.314e+01 5.493e+03
3 9.17e-04 2 53 24 18 30 42 43 1.907e-03 5.872e+01 1.986e+03
3 1.04e-03 3 30 30 30 49 30 35 2.191e-03 5.876e+01 2.285e+03
3 9.17e-04 2 81 47 64 24 22 4 2.291e-03 7.725e+01 2.422e+03
3 7.51e-04 2 61 24 30 85 30 31 2.457e-03 6.291e+01 2.545e+03
3 7.96e-04 1 18 54 27 52 36 38 2.556e-03 2.665e+01 2.575e+03
3 1.04e-03 3 18 24 18 30 42 43 2.813e-03 4.237e+01 2.877e+03
3 7.62e-04 3 18 28 28 30 55 18 2.964e-03 4.534e+01 3.041e+03
3 8.98e-04 3 30 30 30 49 30 35 2.964e-03 5.756e+01 3.058e+03
3 9.42e-04 5 9 28 34 52 44 35 3.154e-03 7.380e+01 3.327e+03
3 3.77e-04 1 1 30 7 37 34 37 3.376e-03 2.373e+01 3.379e+03
